,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,80,20,0.23750000000000004,0.09999999999999998,0.0004849999999976262,[[ 1.36692376 -1.4453871 ]],-3.049149810360494,52.88980634572791,52
0,80,20,0.17500000000000004,0.30000000000000004,0.000489000000001738,[[ 1.7156543 -1.3333354]],-4.911915985120436,44.27272925245347,43
0,80,20,0.16249999999999998,0.30000000000000004,0.00047999999999603915,[[ 1.12856887 -1.72856887]],-0.8785639504501245,39.71079030266882,44
0,80,20,0.22499999999999998,0.09999999999999998,0.0007680000000078735,[[ 1.24975811 -1.25067864]],-2.8717272769275985,49.69079995329463,52
0,80,20,0.1875,0.19999999999999996,0.0005549999999914235,[[ 1.39576383 -1.62982038]],-2.4151836535330884,42.42405111165907,42
0,80,20,0.1875,0.25,0.0006580000000013797,[[ 1.33359011 -1.33319635]],-3.135144194126286,49.11132726887169,52
0,80,20,0.21250000000000002,0.15000000000000002,0.0004880000000042628,[[ 1.33167395 -1.33298802]],-2.9926966069390306,52.455349690829074,52
0,80,20,0.21250000000000002,0.15000000000000002,0.0006829999999951042,[[ 1.2123277  -1.33290036]],-2.3963215388392336,46.67661851508888,48
0,80,20,0.21250000000000002,0.19999999999999996,0.0005300000000119098,[[ 1.00091205 -1.49833745]],-0.9091975622265743,48.105794552696395,49
0,80,20,0.17500000000000004,0.30000000000000004,0.00046899999999538977,[[ 1.4750255  -1.14772632]],-4.357934746629543,44.90865038851012,44
0,80,20,0.21250000000000002,0.15000000000000002,0.0007820000000009486,[[ 1.33324263 -1.33322997]],-3.1331448179403054,47.710800053784055,50
0,80,20,0.21250000000000002,0.09999999999999998,0.0005570000000005848,[[ 1.11165257 -1.66747016]],-0.7227604415488843,53.9019042942864,50
0,80,20,0.19999999999999996,0.19999999999999996,0.0005249999999961119,[[ 1.24996853 -1.25033732]],-2.8737774631581745,50.9375771879582,50
0,80,20,0.19999999999999996,0.25,0.0007710000000002992,[[ 1.09053105 -1.45407955]],-1.5084552521152803,44.526325916288485,48
0,80,20,0.22499999999999998,0.19999999999999996,0.00048300000000267573,[[ 1.03129887 -1.44380554]],-1.3509241412859883,43.09525125734935,47
0,80,20,0.1875,0.30000000000000004,0.0004969999999957508,[[ 1.05290931 -1.57846234]],-0.8976414990023386,47.95526682969373,48
0,80,20,0.21250000000000002,0.15000000000000002,0.0005760000000094578,[[ 1.32000098 -1.34000195]],-3.04199704689729,47.33894226041387,50
0,80,20,0.21250000000000002,0.15000000000000002,0.00044999999998651674,[[ 1.32226341 -1.15699849]],-3.512197123507845,48.93174978176914,49
0,80,20,0.23750000000000004,0.09999999999999998,0.0005620000000021719,[[ 1.13018937 -1.2875789 ]],-2.110101626257904,50.72803536411825,50
0,80,20,0.21250000000000002,0.19999999999999996,0.0005019999999973379,[[ 1.11082224 -1.41379192]],-1.7874554420605595,42.68068488752158,47
0,80,20,0.21250000000000002,0.19999999999999996,0.0004849999999976262,[[ 1.09165687 -1.45418054]],-1.477716063016807,49.12189213842758,49
